,풀핏 프로폴리스 시너지 토너,올리고 히알루론산 7멀티 포뮬라 패드,프로 모이스처 크리미 토너,테르물레 클리어 패드,리페어레이션 에센스 토너,레스온스킨 에센스 패드,더 퍼스트 제너츄어 스킨 소프너,카렌듈라 앰플 토너,시카 토너 패드,바이바이 시카토너,하이포알러제닉 모이스처라이징 크림 보습패드,수딩 센서티브 워터,찹쌀 배리어 크림 스킨,비폴렌 리뉴 앰풀 스킨,파하 퍼스트 토너 (각질파토),데일리 필링 수영장 토너,퓨어 토너,원더 세라마이드 모찌 토너,아임 쏘리 포 마이 스킨 릴렉싱 토너,플라본 부스터,아토베리어 365 로션,인텐시브 로션,카밍릴리프 AI 리페어 로션,아토베리어 로션,셋업 에멀전,세라마이드 하이드라 플루이드,크리미 모이스춰라이저 딥 모이스트,밀키 모이스춰라이저 하이드라 밸런싱,수드 대나무 로션,어린쑥 수분진정 플루이드,수딩로션,데일리리페어 모이스처라이저
41,30.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.29268,0.0,0.0,0.0,0.0,0.0,92.70386,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0
42,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.92682,0.0,0.0,31.25,0.0,0.0,90.55793,0.0,0.0,0.0,0.0,100.0,0.0,33.33333,0.0
43,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.58536,0.0,0.0,0.0,0.0,0.0,81.97424,0.0,0.0,0.0,0.0,75.0,0.0,33.33333,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.65853,0.0,0.0,0.0,0.0,0.0,67.38197,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0
45,23.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.85365,0.0,0.0,31.25,0.0,0.0,51.50214,0.0,0.0,100.0,0.0,22.22222,0.0,28.57142,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.05882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.92682,0.0,0.0,0.0,0.0,0.0,55.3648,0.0,0.0,0.0,0.0,22.22222,0.0,47.61904,0.0
47,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.2439,0.0,0.0,100.0,0.0,0.0,88.41201,0.0,0.0,0.0,0.0,27.77777,0.0,52.38095,0.0
48,36.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.34146,0.0,0.0,56.25,0.0,0.0,74.24892,0.0,0.0,0.0,0.0,0.0,83.33333,38.09523,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.34146,0.0,0.0,0.0,0.0,0.0,95.27896,0.0,0.0,0.0,0.0,19.44444,0.0,57.14285,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7317,0.0,0.0,0.0,0.0,0.0,72.53218,0.0,0.0,0.0,0.0,16.66666,0.0,52.38095,0.0
51,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.60975,0.0,0.0,75.0,0.0,0.0,79.82832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,16.66666,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.78048,0.0,100.0,0.0,0.0,0.0,51.07296,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,71.42857
53,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.78048,0.0,0.0,43.75,0.0,0.0,51.07296,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.19512,0.0,0.0,0.0,0.0,0.0,81.11587,0.0,85.71428,0.0,0.0,27.77777,0.0,33.33333,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.51219,0.0,0.0,81.25,0.0,0.0,81.97424,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7317,0.0,0.0,0.0,0.0,0.0,70.81545,0.0,100.0,0.0,0.0,0.0,0.0,23.80952,0.0
57,0.0,0.0,100.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.65853,0.0,0.0,62.5,0.0,0.0,84.54935,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.29268,0.0,0.0,31.25,0.0,0.0,77.6824,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0
59,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,76.47058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.34146,0.0,0.0,31.25,0.0,0.0,67.38197,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0
60,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.53658,0.0,0.0,31.25,0.0,0.0,86.69527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,648000,7990,732000,10900,389653,214,14900,527000,1197270,23500,5005,2134,732000,439126,169898,425,22200,6707,71,12448,18500,732000,71772,732000,21800,18500,829000,676509,65,732000,222,720
